Order ID,Order Date,Customer ID,Quantity,Size,Unit Price,Sales,Tipe Kopi,Ukuran,Kategori
QEV-37451-860,9/5/2019,17670-51384-MA,2,1,9.95,19.9,R,M,Cukup Laris
QEV-37451-860,9/5/2019,17670-51384-MA,5,0.5,8.25,41.25,E,M,Sangat Laris
FAA-43335-268,6/17/2021,21125-22134-PX,1,1,12.95,12.95,A,L,Kurang Laris
KAC-83089-793,7/15/2021,23806-46781-OU,2,1,13.75,27.5,E,M,Cukup Laris
KAC-83089-793,7/15/2021,23806-46781-OU,2,2.5,27.485,54.97,R,L,Sangat Laris
CVP-18956-553,8/4/2021,86561-91660-RB,3,1,12.95,38.85,L,D,Sangat Laris
IPP-31994-879,1/21/2022,65223-29612-CB,3,0.5,7.29,21.87,E,D,Cukup Laris
SNZ-65340-705,5/20/2022,21134-81676-FR,1,0.2,4.755,4.755,L,L,Kurang Laris
EZT-46571-659,1/2/2019,03396-68805-ZC,3,0.5,5.97,17.91,R,M,Cukup Laris
NWQ-70061-912,9/5/2019,61021-27840-ZN,1,0.5,5.97,5.97,R,M,Kurang Laris
BKK-47233-845,3/8/2021,76239-90137-UQ,4,1,9.95,39.8,A,D,Sangat Laris
VQR-01002-970,10/28/2020,49315-21985-BB,5,2.5,34.155,170.775,E,L,Sangat Laris
SZW-48378-399,7/2/2022,34136-36674-OM,5,1,9.95,49.75,R,M,Sangat Laris
ITA-87418-783,5/22/2020,39396-12890-PE,2,2.5,20.585,41.17,R,D,Sangat Laris
GNZ-46006-527,4/5/2022,95875-73336-RG,3,0.2,3.885,11.655,L,D,Kurang Laris
FYQ-78248-319,6/7/2022,25473-43727-BY,5,2.5,22.885,114.425,R,M,Sangat Laris
VAU-44387-624,3/20/2019,99643-51048-IQ,6,0.2,3.375,20.25,A,M,Cukup Laris
RDW-33155-159,10/19/2019,62173-15287-CU,6,1,12.95,77.7,A,L,Sangat Laris
TDZ-59011-211,6/13/2019,57611-05522-ST,4,2.5,20.585,82.34,R,D,Sangat Laris
IDU-25793-399,12/4/2020,76664-37050-DT,5,0.2,3.375,16.875,A,M,Cukup Laris
IDU-25793-399,12/4/2020,76664-37050-DT,4,0.2,3.645,14.58,E,D,Kurang Laris
NUO-20013-488,12/4/2020,03090-88267-BQ,6,0.2,2.985,17.91,A,D,Cukup Laris
UQU-65630-479,1/22/2021,37651-47492-NC,4,2.5,22.885,91.54,R,M,Sangat Laris
FEO-11834-332,2/11/2022,95399-57205-HI,4,0.2,2.985,11.94,A,D,Kurang Laris
TKY-71558-096,9/15/2021,24010-66714-HW,1,1,11.25,11.25,A,M,Kurang Laris
OXY-65322-253,10/24/2020,07591-92789-UA,3,0.2,4.125,12.375,E,M,Kurang Laris
EVP-43500-491,2/20/2019,49231-44455-IC,4,0.5,6.75,27,A,M,Cukup Laris
WAG-26945-689,10/8/2019,50124-88608-EO,5,0.2,3.375,16.875,A,M,Cukup Laris
CHE-78995-767,8/2/2022,00888-74814-UZ,3,0.5,5.97,17.91,A,D,Cukup Laris
RYZ-14633-602,2/20/2019,14158-30713-OB,4,1,9.95,39.8,A,D,Sangat Laris
WOQ-36015-429,9/25/2021,51427-89175-QJ,5,0.2,4.365,21.825,L,M,Cukup Laris
WOQ-36015-429,9/25/2021,51427-89175-QJ,6,0.5,5.97,35.82,A,D,Sangat Laris
WOQ-36015-429,9/25/2021,51427-89175-QJ,6,0.5,8.73,52.38,L,M,Sangat Laris
SCT-60553-454,7/17/2021,39123-12846-YJ,5,0.2,4.755,23.775,L,L,Cukup Laris
GFK-52063-244,6/29/2020,44981-99666-XB,6,0.5,9.51,57.06,L,L,Sangat Laris
